timestamp_real,timestamp_sim,agent_jid,agent_type,product,change_type,quantity,stock_before,stock_after
2025-11-19 23:45:30.587,0,warehousee1_test@localhost,warehouse,C,unlock_denied,15,39,54
2025-11-19 23:45:40.588,0,warehousee1_test@localhost,warehouse,A,lock,9,44,35
2025-11-19 23:45:40.588,0,warehousee2_test@localhost,warehouse,A,lock,9,74,65
2025-11-19 23:45:40.591,0,warehousee1_test@localhost,warehouse,A,unlock_denied,9,35,44
2025-11-19 23:45:45.578,0,warehousee1_test@localhost,warehouse,C,lock,19,54,35
2025-11-19 23:45:45.578,0,warehousee2_test@localhost,warehouse,C,lock,19,80,61
2025-11-19 23:45:45.579,0,warehousee1_test@localhost,warehouse,D,lock,13,20,7
2025-11-19 23:45:45.580,0,warehousee2_test@localhost,warehouse,D,lock,13,27,14
2025-11-19 23:45:45.586,0,warehousee1_test@localhost,warehouse,C,unlock_denied,19,35,54
2025-11-19 23:45:45.586,0,warehousee1_test@localhost,warehouse,D,unlock_denied,13,7,20
2025-11-19 23:45:50.589,0,warehousee1_test@localhost,warehouse,A,lock,20,44,24
2025-11-19 23:45:50.589,0,warehousee2_test@localhost,warehouse,A,lock,20,65,45
2025-11-19 23:45:50.590,0,warehousee1_test@localhost,warehouse,A,lock,10,24,14
2025-11-19 23:45:50.591,0,warehousee2_test@localhost,warehouse,A,lock,10,45,35
2025-11-19 23:45:50.597,0,warehousee1_test@localhost,warehouse,A,unlock_denied,20,14,34
2025-11-19 23:45:50.597,0,warehousee1_test@localhost,warehouse,A,unlock_denied,10,34,44
2025-11-19 23:45:55.584,0,warehousee1_test@localhost,warehouse,A,lock,10,44,34
2025-11-19 23:45:55.585,0,warehousee2_test@localhost,warehouse,A,lock,10,35,25
2025-11-19 23:45:55.589,0,warehousee1_test@localhost,warehouse,A,unlock_denied,10,34,44
2025-11-19 23:46:00.578,0,warehousee1_test@localhost,warehouse,B,lock,7,44,37
2025-11-19 23:46:00.578,0,warehousee2_test@localhost,warehouse,B,lock,7,31,24
2025-11-19 23:46:00.579,0,warehousee1_test@localhost,warehouse,B,lock,20,37,17
2025-11-19 23:46:00.579,0,warehousee2_test@localhost,warehouse,B,lock,20,24,4
2025-11-19 23:46:00.585,0,warehousee1_test@localhost,warehouse,B,unlock_denied,7,17,24
2025-11-19 23:46:00.586,0,warehousee1_test@localhost,warehouse,B,unlock_denied,20,24,44
2025-11-19 23:46:10.581,0,warehousee1_test@localhost,warehouse,B,lock,9,44,35
2025-11-19 23:46:10.582,0,warehousee2_test@localhost,warehouse,B,lock,9,80,71
2025-11-19 23:46:10.582,0,warehousee1_test@localhost,warehouse,B,lock,17,35,18
2025-11-19 23:46:10.583,0,warehousee2_test@localhost,warehouse,B,lock,17,71,54
2025-11-19 23:46:10.589,0,warehousee1_test@localhost,warehouse,B,unlock_denied,9,18,27
