timestamp_real,timestamp_sim,sender,receiver,message_type,performative,body_preview,metadata
2025-11-19 22:21:28.033,,vehiclee2@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000007, ""can_fit"": false, ""delivery_time"": 33.062, ""vehicle_id"": ""vehiclee2@localhost...",
2025-11-19 22:21:28.036,,vehiclee3@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000007, ""can_fit"": false, ""delivery_time"": 16.887, ""vehicle_id"": ""vehiclee3@localhost...",
2025-11-19 22:21:29.022,,warehousee1_test@localhost,vehiclee1@localhost,Confirmation,order-confirmation,"{""orderid"": 101000007, ""confirmed"": true}",
2025-11-19 22:21:29.022,,warehousee1_test@localhost,vehiclee2@localhost,Confirmation,order-confirmation,"{""orderid"": 101000007, ""confirmed"": false}",
2025-11-19 22:21:29.023,,warehousee1_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 101000007, ""confirmed"": false}",
2025-11-19 22:21:29.252,,event_agent@localhost,vehiclee1@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.04, ""vehicles"": [""vehiclee3""]}",
2025-11-19 22:21:29.252,,event_agent@localhost,vehiclee2@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.04, ""vehicles"": [""vehiclee3""]}",
2025-11-19 22:21:29.252,,event_agent@localhost,vehiclee3@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.04, ""vehicles"": [""vehiclee3""]}",
2025-11-19 22:21:29.252,,event_agent@localhost,storee1_test@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.04, ""vehicles"": [""vehiclee3""]}",
2025-11-19 22:21:29.253,,event_agent@localhost,storee2_test@localhost,Notify,inform,"{""type"": ""arrival"", ""time"": 3.04, ""vehicles"": [""vehiclee3""]}",
2025-11-19 22:21:29.255,,vehiclee1@localhost,event_agent@localhost,Notify,inform,"{""type"": ""arrival"", ""vehicle_id"": ""vehiclee1@localhost"", ""current_location"": 7, ""next_node"": 2, ""tim...",
2025-11-19 22:21:29.257,,vehiclee2@localhost,event_agent@localhost,Notify,inform,"{""type"": ""arrival"", ""vehicle_id"": ""vehiclee2@localhost"", ""current_location"": 8, ""next_node"": 7, ""tim...",
2025-11-19 22:21:29.257,,vehiclee3@localhost,storee2_test@localhost,Notify,vehicle-delivery,"{""orderid"": 102000001, ""vehicle_id"": ""vehiclee3@localhost"", ""status"": ""completed"", ""location"": 11, ""...",
2025-11-19 22:21:29.257,,vehiclee3@localhost,storee2_test@localhost,Notify,vehicle-delivery,"{""orderid"": 102000000, ""vehicle_id"": ""vehiclee3@localhost"", ""status"": ""completed"", ""location"": 11, ""...",
2025-11-19 22:21:33.016,,storee2_test@localhost,warehousee1_test@localhost,Notify,store-buy,2 D,
2025-11-19 22:21:33.016,,storee2_test@localhost,warehousee2_test@localhost,Notify,store-buy,2 D,
2025-11-19 22:21:33.017,,warehousee1_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,2 D,
2025-11-19 22:21:33.017,,warehousee2_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,2 D,
