timestamp_real,timestamp_sim,vehicle_jid,algorithm,num_orders,computation_time_ms,route_length,total_distance,total_fuel,route_nodes
2025-11-19 22:35:36.919,,order_102000009,astar,1,1.02,3,9.22,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:37.902,,vehiclee2@localhost,astar,6,2.542,13,48.737,0,"[13, 13, 19, 13, 9, 13, 19, 13, 19, 13, 19, 13, 19]"
2025-11-19 22:35:39.962,,order_202000004,astar,1,1.021,4,11.412,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:35:39.964,,vehiclee1@localhost,astar,1,1.542,3,12.744,0,"[9, 22, 13]"
2025-11-19 22:35:39.966,,order_202000004,astar,1,1.018,4,11.412,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:35:39.967,,vehiclee2@localhost,astar,1,1.533,3,10.669,0,"[19, 22, 13]"
2025-11-19 22:35:39.969,,order_202000004,astar,1,1.051,4,8.642,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:35:39.971,,vehiclee3@localhost,astar,1,1.019,3,10.669,0,"[19, 22, 13]"
2025-11-19 22:35:41.910,,order_102000010,astar,1,1.022,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:41.912,,vehiclee1@localhost,astar,1,1.014,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:35:41.914,,order_102000010,astar,1,1.023,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:41.917,,order_102000010,astar,1,1.025,3,7.192,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:42.896,,vehiclee2@localhost,astar,7,3.045,15,57.957,0,"[13, 13, 9, 13, 19, 13, 19, 13, 19, 13, 19, 13, 19, 13, 19]"
2025-11-19 22:35:46.908,,order_102000011,astar,1,1.024,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:46.909,,vehiclee1@localhost,astar,1,1.024,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:35:46.912,,order_102000011,astar,1,1.018,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:46.916,,order_102000011,astar,1,1.017,3,7.192,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:46.921,,order_101000015,astar,1,1.022,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:46.922,,vehiclee1@localhost,astar,1,1.558,3,6.697,0,"[9, 13, 9]"
2025-11-19 22:35:46.924,,order_101000015,astar,1,1.019,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:46.928,,order_101000015,astar,1,1.016,3,4.735,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:35:47.899,,vehiclee2@localhost,astar,8,3.046,17,67.177,0,"[13, 13, 19, 13, 9, 13, 19, 13, 19, 13, 19, 13, 19, 13, 19, 13, 19]"
2025-11-19 22:35:47.904,,vehiclee2@localhost,astar,9,4.078,19,42.904,0,"[13, 13, 13, 9, 19, 13, 9, 13, 13, 19, 19, 13, 13, 19, 19, 13, 13, 19, 19]"
2025-11-19 22:35:51.903,,order_102000012,astar,1,1.033,3,7.784,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:51.904,,vehiclee1@localhost,astar,1,1.019,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:35:51.907,,order_102000012,astar,1,1.523,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:51.911,,order_102000012,astar,1,1.018,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:35:52.909,,vehiclee2@localhost,astar,10,4.08,21,52.124,0,"[13, 13, 13, 9, 19, 13, 13, 19, 19, 13, 13, 19, 19, 13, 13, 19, 19, 13, 9, 13, 19]"
2025-11-19 22:36:06.904,,order_101000016,astar,1,1.019,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:36:06.905,,vehiclee1@localhost,astar,1,1.013,0,6.697,0,order_101000016
2025-11-19 22:36:06.908,,vehiclee1@localhost,astar,1,1.024,3,6.697,0,"[9, 13, 9]"
2025-11-19 22:36:11.914,,order_101000017,astar,1,1.524,3,5.327,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:36:11.918,,order_101000017,astar,1,1.556,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:36:11.924,,order_101000017,astar,1,1.535,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:36:11.927,,vehiclee3@localhost,astar,1,1.525,3,6.763,0,"[19, 13, 9]"
2025-11-19 22:36:12.903,,vehiclee2@localhost,astar,11,5.614,23,55.511,0,"[13, 13, 13, 9, 19, 13, 9, 13, 13, 9, 19, 13, 13, 19, 19, 13, 13, 19, 19, 13, 13, 19, 19]"
2025-11-19 22:36:16.931,,order_101000018,astar,1,1.016,3,5.327,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:36:16.934,,order_101000018,astar,1,1.024,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:36:16.938,,order_101000018,astar,1,1.02,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:36:16.939,,vehiclee3@localhost,astar,1,1.018,3,6.763,0,"[19, 13, 9]"
2025-11-19 22:36:16.942,,order_102000013,astar,1,1.022,3,7.784,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:36:16.944,,vehiclee1@localhost,astar,1,1.014,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:36:16.947,,order_102000013,astar,1,1.527,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
